ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
NVDA,2025-03-17,S - Sale,0.0001266128096093,2.2239884455194123,2025-02-26 16:00:00,-13,13,5.25,False,0.1242418168918931,-0.0209468258430756,-0.0371753879930106,-0.093580658529949,0.0318567945647118
NVDA,2025-03-21,S - Sale,0.0003192560486518,2.24099874858316,2025-02-26 16:00:00,-17,17,5.25,False,0.0911319974976322,-0.019028525585039,-0.0673238914750615,-0.040813007669003,0.0685455769410329
NVDA,2025-03-25,S - Sale,0.0003412881373798,2.238803126916931,2025-02-26 16:00:00,-19,19,5.25,False,0.0556198459697711,-0.0285991738827387,0.0068124377292361,0.0885178419345107,0.0750435548594671
ORCL,2025-01-24,S - Sale+OE,0.001258127990962,0.9880286349687046,2024-12-09 16:00:00,-30,30,-0.77,False,0.0858476833572616,-0.0117530707818683,-0.1139859252954197,-0.0645326625778848,-0.0708971494695222
ORCL,2025-02-14,P - Purchase,0.0005334369498452,0.9325669769207412,2025-03-10 16:00:00,15,15,-1.35,True,-0.0489592449799393,-0.0026011123253526,0.0369099847029439,0.0073457372988869,-0.0514636072218752
ORCL,2025-03-21,P - Purchase,0.0010979591827528,1.1124476723768448,2025-03-10 16:00:00,-9,9,-1.35,False,-0.0240059066631653,-0.0101178136070442,-0.0496609880608181,-0.070344831657979,-0.063054284350029
ORCL,2025-04-04,S - Sale,0.0008632716559291,1.1693572225379485,2025-03-10 16:00:00,-19,19,-1.35,False,-0.0125425557827083,0.00187145308541,-0.0265417140415687,-0.0424557517537224,-0.0487811976291941
ORCL,2025-04-15,S - Sale+OE,0.0010734598916592,1.1737224582840096,2025-03-10 16:00:00,-26,26,-1.35,False,-0.0494083900140603,-0.0019732688530542,-0.0103416295773272,-0.0166678731283923,0.0222481362991599
ORCL,2025-05-06,S - Sale+OE,0.0005130010438907,1.1191780838552896,2025-06-11 16:00:00,17,17,3.37,True,,,,,
ORCL,2025-05-06,S - Sale,0.0005130010438907,1.1191780838552896,2025-06-11 16:00:00,17,17,3.37,True,,,,,
PLTR,2024-11-05,S - Sale,0.0031281864199593,1.5033481463066278,2024-11-04 16:00:00,-1,1,42.21,False,-0.0551547662369827,0.2487147305357485,0.2696795431912889,0.4273921690808079,0.3656544980312766
PLTR,2024-11-07,S - Sale+OE,0.0035680777072987,1.5187524334428693,2024-11-04 16:00:00,-3,3,42.21,False,,,,,
PLTR,2024-11-07,S - Sale,0.0035680777072987,1.5187524334428693,2024-11-04 16:00:00,-3,3,42.21,False,,,,,
PLTR,2024-11-12,S - Sale,0.0036205841986719,1.5122553883929295,2024-11-04 16:00:00,-6,6,42.21,False,0.2598001712058926,0.0058220181709338,0.1284092427574137,0.0665716271970416,0.048307050521869
PLTR,2024-11-15,S - Sale+OE,0.0036117824402799,1.502313007853927,2024-11-04 16:00:00,-9,9,42.21,False,0.2087619560901085,0.1413574053606107,0.0534347390274962,0.0767387974165066,0.1100912102920021
PLTR,2024-11-20,S - Sale+OE,0.0037016329438758,1.4992383100847446,2024-11-04 16:00:00,-12,12,42.21,False,0.3207591578889793,-0.032104920272104,0.007376306023842,0.0205382548489146,0.0197097729201802
PLTR,2024-11-22,S - Sale+OE,0.003894054227885,1.4870970552146443,2024-11-04 16:00:00,-14,14,42.21,False,,,,,
PLTR,2024-11-22,S - Sale,0.003894054227885,1.4870970552146443,2024-11-04 16:00:00,-14,14,42.21,False,,,,,
PLTR,2024-11-27,S - Sale,0.0038810388797625,1.4827988297500347,2024-11-04 16:00:00,-17,17,42.21,False,0.1109222054034393,0.0096366087432686,-0.0194188648721672,0.0747475232226273,0.0055902880120364
PLTR,2024-12-03,S - Sale+OE,0.003852918761508,1.5080061137206693,2024-11-04 16:00:00,-20,20,42.21,False,0.0540500899331746,0.0198278989734509,0.0936903829161357,0.0681339086145002,0.1201111157724632
PLTR,2024-12-04,S - Sale,0.0038236604804346,1.5136519685955578,2024-11-04 16:00:00,-21,21,42.21,False,0.099043416653943,-0.0114489586218675,-0.0106009594670637,0.0092368210570704,0.0581613488299831
PLTR,2024-12-06,S - Sale,0.0048290054651811,1.6550456582669617,2024-11-04 16:00:00,-23,23,42.21,False,-0.0552553101070183,0.0439659012961377,-0.0349833086861453,-0.0165598890306204,0.0471702457737743
PLTR,2024-12-10,S - Sale,0.0052611444388262,1.6473373790407568,2024-11-04 16:00:00,-25,25,42.21,False,0.0152773352078406,-0.0342995304934701,0.0127828009968084,0.0770373980415204,0.0159288996311039
PLTR,2024-12-13,S - Sale+OE,0.0054092150008903,1.6324023498273867,2024-11-04 16:00:00,-28,28,42.21,False,-0.0107869528898495,0.0318398006279336,-0.002112356347617,0.075390072256145,0.0137486407819938
PLTR,2024-12-16,S - Sale+OE,0.0053498330434904,1.6312023499566073,2024-11-04 16:00:00,-29,29,42.21,False,0.0270233401695391,-0.0478514871241254,0.0635345011439623,0.0301325531330027,0.0109015078107927
PLTR,2025-01-06,S - Sale+OE,0.0043715660277996,1.4203952087340548,2025-02-03 16:00:00,18,18,23.72,True,,,,,
PLTR,2025-01-06,S - Sale,0.0043715660277996,1.4203952087340548,2025-02-03 16:00:00,18,18,23.72,True,,,,,
PLTR,2025-01-10,S - Sale,0.0047981544477296,1.4445796257555648,2025-02-03 16:00:00,15,15,23.72,True,-0.2048180620392289,0.004512888652633,-0.0221938090034077,0.0118911184700719,0.0972250141635593
